Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.568160057,..,..,4.756659985,3.800620079,3.948930025,3.844680071,3.750370026,..,3.974479914,4.4790802,4.870600224,4.974259853,5.268839836,5.463550091,5.648799896,5.737410069,5.855100155,5.838850021,5.948480129,6.24105978,6.314040184,6.32047987,6.088510036,5.963469982,5.771500111,5.49698019,5.619229794,..,..
India,IND,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.361360073,3.572560072,4.415390015,4.324790001,..,..,3.613409996,3.352540016,3.188750029,3.142849922,..,..,3.278249979,3.377690077,3.79618001,3.867500067,3.844670057,3.898780232,4.114570141,4.254079819,4.305449963,4.363739967,3.897320032,4.29335022,4.629499912,4.098658142,..,..
Nigeria,NGA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,3.210170031,3.063689947,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.549233086,0.534206768,0.470742539,0.436954905,0.393045646,0.396354014,0.419998494,0.358479005,0.359637637,0.381919104,0.348516708,0.31906905,..
Viet Nam,VNM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.886740208,4.816500187,4.045939922,3.780230045,4.408170223,4.528339863,3.540123121,3.416604497,3.469069958,3.418656865,3.295370102,3.084998327,3.216529002,2.945174888,2.887386894,..,..
Indonesia,IDN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,2.788209915,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.871410012,..,..,..,..,0.998549998,1.004349947,1.078549981,1.072080016,..,..,..,2.460030079,2.645689964,3.217999935,2.748470068,2.872819901,..,3.044250011,2.901900053,3.525130033,2.81227994,3.189440012,3.407480001,3.359040022,3.288009882,3.583600044,1.210234525,1.053243825,0.994436461,0.964399078,1.015932213,1.032217507,0.86394335,1.275170882,..
