Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94.32097626,103.9176865,102.6355286,100.920517,102.5695038,103.0159607,105.0070724,103.9532776,104.1259995,106.6518936,106.031189,..,..
India,IND,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.17343903,46.82458115,48.80693817,51.42557144,53.24737167,55.9314003,56.78594971,59.14783859,62.21192169,61.36032104,64.94759369,67.12516785,69.80895996,69.47712708,74.88870239,74.61136627,75.93728638,74.67437744,76.00257874,75.8716507,77.97664333,80.83557155,81.65584643,79.32503975,78.10580732
Nigeria,NGA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,4.478950024,4.847030163,5.391290188,6.01967001,..,..,..,7.78704977,9.179490089,11.1410799,13.87065983,17.27382088,21.07259941,25.06702042,28.7570591,29.1342907,26.99051094,26.8306694,..,23.63707924,23.9810009,..,..,..,..,..,..,..,..,22.83241081,23.96134949,26.39998055,28.87380981,..,33.94812012,33.7729187,33.12628174,30.42320061,33.61127853,37.13814163,41.78379822,43.02399063,44.45579147,52.79673004,42.78215027,43.82469177,39.30680847,..,40.48852921,..,44.12208939,45.44493866,..,46.89315033,..
Viet Nam,VNM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,36.89057159,39.18328857,..,..,46.52640915,..,..,..,..,..,..,..,..,..,35.11790848,..,..,..,..,..,..,..,56.8839798,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.45483413,90.15833471,91.07251981,92.83777108,94.65462168,93.19213895,92.76902092,93.41234341,..,..
Indonesia,IDN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,18.13718033,18.56842041,18.70844078,19.08649063,19.70054054,21.21882057,21.97205925,22.62949944,23.97192001,..,..,28.11779976,30.26825905,33.74409103,34.01337814,..,41.7326088,47.21239853,49.28549957,49.24705124,46.74105835,45.0060997,44.19884109,43.81518936,44.73419189,47.54019928,50.30279922,53.98022842,54.27188873,54.59709167,55.59762955,56.22732162,57.64659882,60.72446823,62.97586823,61.63827896,64.64221191,71.85450745,70.16844177,74.50359344,75.65190887,78.1330719,80.09268188,81.88969748,83.55599493,87.84232079,87.81917917,90.94553912,92.81207396,94.94670449,96.93457791,97.84414798,97.81676027,96.00021203,98.83644446
