Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.4,11.34292199,11.94034812,13.96872178,8.153938685,5.166649084,10.25712953,4.93432807,4.969897689,6.759560122,9.2,-4.25,0.83,-2.93,5.4,7.85,7.49,3.53,-0.06,3.16,-4.35,1.032189585,-0.544072051,4.924690005,5.852870364,4.223793634,2.208864051,3.394845985,0.338097902,0.467937567,4.387949444,1.389896404,3.053461857,1.140828999,5.759964637,3.202132062,3.961988709,6.069870607,5.094195448,-0.125812003,7.528225818,3.974423079,1.921175985,3.00482267,0.50395574,-3.545763393,-3.275916906,1.322869054,1.783666761,1.220777823,-3.276758796,4.76260438,3.016694354,3.241655328,3.419315166
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.157229737,1.642930375,-0.553301305,3.295521135,1.185336255,9.149912016,1.663103638,7.254764588,5.712532089,-5.238182704,6.735821529,6.006203626,3.47573324,7.288892903,3.820737856,5.254299223,4.776564168,3.965355635,9.627782916,5.947343332,5.533454561,1.056831435,5.48239602,4.750776218,6.65892407,7.574491838,7.549522249,4.04982085,6.184415822,8.845755559,3.840991157,4.823966266,3.803975321,7.860381476,7.922936612,7.923430621,8.060732572,7.660815067,3.086698059,7.861888833,8.497584702,5.241316199,5.456387552,6.386106401,7.410227605,7.996253786,8.256305502,6.795383419,6.453851345,3.871436941,-5.777724707,9.689592492,7.609364978,9.19075493,6.494765524
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,25.00724193,14.23753156,3.364262035,5.392760484,11.16067455,-5.227747555,9.042351726,6.02411785,-5.764158394,6.759430935,4.204831044,-13.12788049,-6.803388815,-10.92408503,-1.115623217,5.913027459,0.060945274,3.200125467,7.334025488,1.919381296,11.77688593,0.358352602,4.631192946,-2.035118774,-1.814924485,-0.072664764,4.195924047,2.937099419,2.581254102,0.584126893,5.015934759,5.917684649,15.32915574,7.347194968,9.250558229,6.438516525,6.059428032,6.591130361,6.764472778,8.036925101,8.005655916,5.307924203,4.230061175,6.671335393,6.309718655,2.652693295,-1.616868949,0.805886619,1.922757342,2.208429277,-6.368898405,1.109252539,4.318829495,3.326845564,4.062364089
Viet Nam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.805855668,2.789291575,3.583469631,5.135011672,7.364512894,5.100918139,5.960843932,8.646047459,8.072730657,8.838980952,9.540480175,9.340017499,8.152084143,5.764455458,4.773586883,6.787316405,6.192893312,6.320820992,6.899063491,7.536410609,7.547247729,6.977954811,7.129504486,5.661771209,5.39789754,6.423244822,6.413168897,5.504544704,5.55351081,6.422243121,6.987154306,6.690008927,6.940190374,7.465006856,7.359262701,2.865413209,2.553728526,8.537500468,5.065023915,7.091187466
Indonesia,IDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.554634514,7.023997197,7.037643208,8.103975535,7.634672906,4.977300867,6.886564974,8.761325601,6.767069858,7.324309486,9.880077522,7.927156824,2.24644534,4.192967368,6.975527809,2.462143564,5.875045104,4.925927365,5.780498488,7.456586925,7.242131639,6.911982836,6.497506517,6.49640812,7.539971096,8.220007399,7.818187077,4.699878854,-13.12672549,0.791126082,4.920067747,3.643466447,4.499475391,4.780369122,5.030873945,5.692571304,5.500951785,6.345022227,6.0137036,4.628871183,6.223854181,6.169784208,6.030050653,5.557263689,5.006668426,4.8763223,5.033069183,5.069785901,5.17429154,5.01928768,-2.065511829,3.702885628,5.307197227,5.049023318,5.030344694
