Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,104.7822266,109.945137,110.3164673,109.1521912,108.757843,109.8085098,108.623291,107.4074783,105.4981995,103.4716797,103.9703217,..,..
India,IND,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.80896759,96.90148926,97.44745636,105.6649475,..,..,..,113.3304062,113.8277512,112.4907913,112.2186966,110.0789337,112.384407,114.2936935,112.3596725,113.5417862,119.9873505,118.3214111,101.4383212,99.91352799,102.0414216,103.2020107,112.0739647,113.1645757,120.5203686
Nigeria,NGA,"School enrollment, primary (% gross)",SE.PRM.ENRR,41.90579987,45.1762619,49.55099869,51.14001083,..,..,49.03450012,59.87886047,76.0019989,89.33972168,94.18321228,101.5642624,110.623642,110.3341217,109.0904617,102.7581406,89.57832336,85.8567276,81.84438324,79.76165009,83.1028595,82.32250214,86.74437714,91.29586029,91.53790283,87.44753265,76.79721069,..,..,91.58309174,95.51016235,92.52490234,93.69761658,94.8095932,95.78090668,96.30635071,96.66243744,88.06884766,79.26875305,80.30917358,79.83003998,84.68055725,85.91259003,87.83497023,84.12165801,25.56575631,78.87805176,..,81.62785137,..,84.37158398,83.8092556,..,89.58711243,..
Viet Nam,VNM,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,..,..,..,..,..,122.269722,125.823822,123.5528336,112.3453827,117.0228577,113.0402985,..,107.1272125,106.4943771,105.1533127,104.7044525,107.5153122,107.9375992,105.7966995,102.5431824,103.643631,104.4994278,108.6398621,111.8860092,115.78685,118.3200607,120.4211502,119.4228668,116.1054077,113.5295563,111.2950974,109.3570175,107.7701035,106.744957,104.8972931,103.9125137,102.2822571,100.981041,100.0576935,100.9196777,101.3840516,102.0549537,102.2623672,103.0835578,103.2783721,105.9475975,104.4376594,104.1905047,103.3372721,102.8477446,103.3912827,104.1293928,105.1708074,106.3328865
Indonesia,IDN,"School enrollment, primary (% gross)",SE.PRM.ENRR,84.18102264,84.94819641,85.58881378,85.62174225,84.39720154,86.43560028,89.02822113,91.53273773,99.6736908,..,..,109.6342697,114.4572296,116.9722977,120.1024628,121.8560181,120.1309586,118.5211182,117.3283997,116.4105072,114.2420502,112.3213806,110.8199234,110.7645264,112.1642914,112.0264664,111.4407578,111.1678467,112.0300369,112.1576767,108.9935913,109.4304123,110.1168976,110.1766586,109.6788406,109.0170898,107.6725388,110.4217224,109.3336792,110.9922867,113.0107751,114.6841376,115.2010696,111.6566751,109.6596086,107.9835258,105.9223919,104.3825213,103.2995429,101.2646858,100.9519337,100.3096654,98.70087305,98.15662757,100.0363182
